Melisa Gretter|Jan 24, 1993|167|5'6"|ARG|ARG|https://www.fiba.basketball/en/players/163689-melisa-gretter
Breanna Stewart|Aug 27, 1994|191|6'3"|USA|USA|https://www.fiba.basketball/en/players/176575-breanna-stewart
Imani McGee-Stafford|Oct 11, 1994|200|6'7"|PUR|USA|https://www.fiba.basketball/en/players/182081-imani-mcgee-stafford
Julie Allemand|Jul 7, 1996|174|5'9"|BEL|BEL|https://www.fiba.basketball/en/players/190766-julie-allemand
Sami Whitcomb|Jul 20, 1988|178|5'10"|AUS|USA|https://www.fiba.basketball/en/players/191935-sami-whitcomb
Caitlin Clark|Jan 22, 2002|183|6'0"|USA|USA|https://www.fiba.basketball/en/players/235603-caitlin-clark
Janelle Salaun|Sep 5, 2001|188|6'2"|FRA|FRA|https://www.fiba.basketball/en/players/237521-janelle-salaun
Amber Constance Melgoza|Jun 29, 1998|180|5'11"|MLT|USA|https://www.fiba.basketball/en/players/284663-amber-constance-melgoza
Syla Swords|Jan 28, 2006|183|6'0"|CAN|CAN|https://www.fiba.basketball/en/players/320676-syla-swords
Jordan Tucker|Apr 3, 1998|200|6'7"|MLT|USA|https://www.fiba.basketball/en/players/333094-jordan-tucker
Joaquim Boumtje Boumtje|May 30, 2009|211|6'11"|USA|USA|https://www.fiba.basketball/en/players/348230-joaquim-boumtje-boumtje
Ivanna Wilson Manyacka|May 26, 2009|185|6'1"|USA|USA|https://www.fiba.basketball/en/players/368604-ivanna-wilson-manyacka
Katalin Papp|May 25, 1967|0|N/A|HUN|HUN|https://www.fiba.basketball/en/players/100003-katalin-papp
Susanne Bee|Aug 21, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100007-susanne-bee
Katharina Bange|Apr 2, 1953|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100008-katharina-bange
Gaby Bartel|Jul 5, 1953|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100009-gaby-bartel
Melanie Beier|Jun 3, 1957|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100010-melanie-beier
Annette Inge Berndt|Jan 6, 1956|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100011-annette-inge-berndt
Petra Blum|Apr 4, 1961|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100012-petra-blum
Barbara Brehm|Mar 11, 1966|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100013-barbara-brehm
Heike Brodersen|Sep 18, 1969|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100014-heike-brodersen
Elke Bruns|May 4, 1962|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100015-elke-bruns
Jutta Daniel|Jul 2, 1966|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100016-jutta-daniel
Silke Dietrich|Jun 4, 1961|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100017-silke-dietrich
Brigitte Susan Drevs|Apr 6, 1956|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100018-brigitte-susan-drevs
Heike Drumm|May 23, 1957|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100019-heike-drumm
Angela Falk|Sep 23, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100020-angela-falk
Brigitte Feldlin|Jan 15, 1958|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100021-brigitte-feldlin
Tessa Franken|Aug 14, 1966|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100022-tessa-franken
Monika Frisse|Mar 11, 1965|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100023-monika-frisse
Nicole Frisse|Feb 1, 1963|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100024-nicole-frisse
Gabi Füller|Feb 24, 1955|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100025-gabi-fuller
Andrea Maria Gotzmann|Aug 7, 1957|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100027-andrea-maria-gotzmann
Stefanie Grauel|May 12, 1962|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100028-stefanie-grauel
Katrin Haenselt|Jun 29, 1955|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100029-katrin-haenselt
Sabine Hening|Jan 19, 1961|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100030-sabine-hening
Katrin Hering|Dec 31, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100031-katrin-hering
Karin Holst|Jun 18, 1962|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100032-karin-holst
Annette Claudia Hornung|Nov 6, 1957|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100033-annette-claudia-hornung
Claudia Jandeck|May 31, 1963|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100034-claudia-jandeck
Monika Jaworski|Jun 6, 1954|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100035-monika-jaworski
Barbara Kadow|May 18, 1943|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100036-barbara-kadow
Stafanie Kasperskie|Jul 2, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100037-stafanie-kasperskie
Astrid Kassat|Feb 4, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100038-astrid-kassat
António Tavares|Dec 10, 1975|184|6'0"|POR|POR|https://www.fiba.basketball/en/players/100039-antonio-tavares
Martina Kehrenberg|Dec 30, 1966|188|6'2"|GER|GER|https://www.fiba.basketball/en/players/100040-martina-kehrenberg
Eva Kerkmann|Sep 21, 1961|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100041-eva-kerkmann
Kristina Klein|May 3, 1966|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100042-kristina-klein
